count,holiday,workingday,temp,humidity,windspeed,hour,year,Clear,Mist,LightSnow,HeavyRain,spring,summer,fall,winter
179,0,1,5.740,69,11.001,8,2011,1,0,0,0,1,0,0,0
100,0,1,6.560,64,15.001,9,2011,1,0,0,0,1,0,0,0
42,0,1,6.560,69,22.003,10,2011,0,1,0,0,1,0,0,0
57,0,1,9.020,51,20.000,11,2011,1,0,0,0,1,0,0,0
78,0,1,9.020,51,11.001,12,2011,1,0,0,0,1,0,0,0
97,0,1,9.840,56,12.998,13,2011,1,0,0,0,1,0,0,0
63,0,1,10.660,52,15.001,14,2011,1,0,0,0,1,0,0,0
65,0,1,11.480,52,16.998,15,2011,1,0,0,0,1,0,0,0
83,0,1,12.300,49,16.998,16,2011,1,0,0,0,1,0,0,0
212,0,1,11.480,48,15.001,17,2011,1,0,0,0,1,0,0,0
182,0,1,10.660,48,12.998,18,2011,1,0,0,0,1,0,0,0
112,0,1,9.840,48,7.002,19,2011,1,0,0,0,1,0,0,0
54,0,1,9.840,48,7.002,20,2011,1,0,0,0,1,0,0,0
48,0,1,9.020,64,0.000,21,2011,1,0,0,0,1,0,0,0
35,0,1,9.020,64,6.003,22,2011,1,0,0,0,1,0,0,0
11,0,1,8.200,69,6.003,23,2011,1,0,0,0,1,0,0,0
6,0,1,8.200,64,0.000,0,2011,1,0,0,0,1,0,0,0
6,0,1,6.560,74,6.003,1,2011,1,0,0,0,1,0,0,0
2,0,1,6.560,74,6.003,2,2011,1,0,0,0,1,0,0,0
2,0,1,9.840,48,15.001,4,2011,1,0,0,0,1,0,0,0
3,0,1,9.020,47,11.001,5,2011,1,0,0,0,1,0,0,0
33,0,1,8.200,47,15.001,6,2011,1,0,0,0,1,0,0,0
88,0,1,7.380,43,12.998,7,2011,1,0,0,0,1,0,0,0
195,0,1,8.200,40,20.000,8,2011,1,0,0,0,1,0,0,0
115,0,1,9.020,37,22.003,9,2011,1,0,0,0,1,0,0,0
57,0,1,9.020,37,22.003,10,2011,1,0,0,0,1,0,0,0
46,0,1,10.660,33,22.003,11,2011,1,0,0,0,1,0,0,0
79,0,1,10.660,33,22.003,12,2011,1,0,0,0,1,0,0,0
71,0,1,11.480,30,20.000,13,2011,1,0,0,0,1,0,0,0
62,0,1,12.300,28,12.998,14,2011,1,0,0,0,1,0,0,0
62,0,1,12.300,28,12.998,15,2011,1,0,0,0,1,0,0,0
89,0,1,12.300,28,6.003,16,2011,1,0,0,0,1,0,0,0
190,0,1,9.840,38,12.998,17,2011,1,0,0,0,1,0,0,0
169,0,1,9.840,38,8.998,18,2011,1,0,0,0,1,0,0,0
132,0,1,9.840,38,7.002,19,2011,1,0,0,0,1,0,0,0
89,0,1,9.020,47,11.001,20,2011,1,0,0,0,1,0,0,0
43,0,1,8.200,51,12.998,21,2011,1,0,0,0,1,0,0,0
42,0,1,7.380,55,8.998,22,2011,1,0,0,0,1,0,0,0
19,0,1,8.200,47,0.000,23,2011,1,0,0,0,1,0,0,0
11,0,1,7.380,55,0.000,0,2011,1,0,0,0,1,0,0,0
4,0,1,6.560,64,0.000,1,2011,1,0,0,0,1,0,0,0
2,0,1,6.560,64,0.000,2,2011,1,0,0,0,1,0,0,0
1,0,1,6.560,64,6.003,4,2011,0,1,0,0,1,0,0,0
4,0,1,5.740,69,6.003,5,2011,0,1,0,0,1,0,0,0
36,0,1,5.740,63,7.002,6,2011,0,1,0,0,1,0,0,0
95,0,1,6.560,59,0.000,7,2011,0,1,0,0,1,0,0,0
219,0,1,6.560,59,0.000,8,2011,1,0,0,0,1,0,0,0
122,0,1,7.380,51,0.000,9,2011,0,1,0,0,1,0,0,0
45,0,1,8.200,47,0.000,10,2011,1,0,0,0,1,0,0,0
59,0,1,9.020,44,6.003,11,2011,1,0,0,0,1,0,0,0
84,0,1,10.660,35,0.000,12,2011,1,0,0,0,1,0,0,0
67,0,1,10.660,35,7.002,13,2011,1,0,0,0,1,0,0,0
70,0,1,11.480,36,11.001,14,2011,1,0,0,0,1,0,0,0
62,0,1,11.480,36,0.000,15,2011,1,0,0,0,1,0,0,0
86,0,1,10.660,38,11.001,16,2011,1,0,0,0,1,0,0,0
172,0,1,9.020,51,11.001,17,2011,1,0,0,0,1,0,0,0
163,0,1,9.020,51,8.998,18,2011,1,0,0,0,1,0,0,0
112,0,1,9.020,55,6.003,19,2011,1,0,0,0,1,0,0,0
69,0,1,8.200,51,11.001,20,2011,1,0,0,0,1,0,0,0
48,0,1,9.020,55,15.001,21,2011,0,1,0,0,1,0,0,0
52,0,1,9.020,51,19.001,22,2011,0,1,0,0,1,0,0,0
23,0,1,8.200,59,12.998,23,2011,0,1,0,0,1,0,0,0
17,0,1,8.200,64,12.998,0,2011,0,1,0,0,1,0,0,0
7,0,1,8.200,69,15.001,1,2011,0,1,0,0,1,0,0,0
1,0,1,8.200,69,15.001,2,2011,0,1,0,0,1,0,0,0
1,0,1,8.200,69,8.998,4,2011,0,1,0,0,1,0,0,0
5,0,1,9.020,55,0.000,5,2011,0,0,1,0,1,0,0,0
34,0,1,8.200,69,0.000,6,2011,0,1,0,0,1,0,0,0
84,0,1,8.200,69,8.998,7,2011,1,0,0,0,1,0,0,0
210,0,1,8.200,51,16.998,8,2011,1,0,0,0,1,0,0,0
134,0,1,8.200,47,20.000,9,2011,1,0,0,0,1,0,0,0
63,0,1,9.020,37,22.003,10,2011,1,0,0,0,1,0,0,0
67,0,1,8.200,40,15.001,11,2011,0,1,0,0,1,0,0,0
59,0,1,8.200,37,16.998,12,2011,0,1,0,0,1,0,0,0
73,0,1,8.200,37,19.001,13,2011,0,1,0,0,1,0,0,0
50,0,1,8.200,40,16.998,14,2011,0,1,0,0,1,0,0,0
72,0,1,8.200,37,11.001,15,2011,0,1,0,0,1,0,0,0
87,0,1,8.200,37,11.001,16,2011,0,1,0,0,1,0,0,0
187,0,1,8.200,37,0.000,17,2011,0,1,0,0,1,0,0,0
123,0,1,8.200,40,6.003,18,2011,1,0,0,0,1,0,0,0
95,0,1,6.560,55,6.003,19,2011,1,0,0,0,1,0,0,0
51,0,1,7.380,47,7.002,20,2011,1,0,0,0,1,0,0,0
39,0,1,7.380,47,8.998,21,2011,1,0,0,0,1,0,0,0
36,0,1,7.380,43,11.001,22,2011,0,1,0,0,1,0,0,0
15,0,1,7.380,51,11.001,23,2011,0,1,0,0,1,0,0,0
25,0,0,7.380,51,11.001,0,2011,0,1,0,0,1,0,0,0
16,0,0,7.380,55,6.003,1,2011,0,1,0,0,1,0,0,0
16,0,0,7.380,55,0.000,2,2011,0,1,0,0,1,0,0,0
7,0,0,7.380,55,11.001,3,2011,0,0,1,0,1,0,0,0
1,0,0,7.380,55,11.001,4,2011,0,0,1,0,1,0,0,0
5,0,0,6.560,74,11.001,5,2011,0,1,0,0,1,0,0,0
2,0,0,6.560,74,11.001,6,2011,0,1,0,0,1,0,0,0
9,0,0,6.560,74,7.002,7,2011,0,1,0,0,1,0,0,0
15,0,0,6.560,93,7.002,8,2011,0,0,1,0,1,0,0,0
20,0,0,6.560,93,7.002,9,2011,0,0,1,0,1,0,0,0
61,0,0,7.380,80,11.001,10,2011,0,1,0,0,1,0,0,0
62,0,0,8.200,69,26.003,11,2011,0,1,0,0,1,0,0,0
98,0,0,8.200,59,23.999,12,2011,0,1,0,0,1,0,0,0
102,0,0,8.200,44,22.003,13,2011,1,0,0,0,1,0,0,0
95,0,0,8.200,32,32.998,14,2011,1,0,0,0,1,0,0,0
74,0,0,8.200,32,30.003,15,2011,1,0,0,0,1,0,0,0
76,0,0,7.380,29,30.003,16,2011,1,0,0,0,1,0,0,0
69,0,0,6.560,37,36.997,17,2011,1,0,0,0,1,0,0,0
55,0,0,5.740,39,20.000,18,2011,1,0,0,0,1,0,0,0
30,0,0,5.740,36,16.998,19,2011,1,0,0,0,1,0,0,0
28,0,0,4.920,36,16.998,20,2011,1,0,0,0,1,0,0,0
37,0,0,4.920,39,23.999,21,2011,1,0,0,0,1,0,0,0
34,0,0,4.920,36,26.003,22,2011,1,0,0,0,1,0,0,0
22,0,0,4.100,39,30.003,23,2011,1,0,0,0,1,0,0,0
25,0,0,4.100,42,26.003,0,2011,1,0,0,0,1,0,0,0
12,0,0,4.100,42,31.001,1,2011,1,0,0,0,1,0,0,0
11,0,0,4.100,46,31.001,2,2011,1,0,0,0,1,0,0,0
4,0,0,4.100,46,27.999,3,2011,1,0,0,0,1,0,0,0
1,0,0,3.280,53,12.998,4,2011,1,0,0,0,1,0,0,0
1,0,0,3.280,53,12.998,5,2011,1,0,0,0,1,0,0,0
1,0,0,4.100,49,19.001,6,2011,1,0,0,0,1,0,0,0
6,0,0,3.280,53,12.998,7,2011,1,0,0,0,1,0,0,0
10,0,0,4.100,49,19.001,8,2011,1,0,0,0,1,0,0,0
19,0,0,4.920,46,35.001,9,2011,1,0,0,0,1,0,0,0
49,0,0,5.740,43,26.003,10,2011,1,0,0,0,1,0,0,0
49,0,0,6.560,40,35.001,11,2011,1,0,0,0,1,0,0,0
83,0,0,7.380,37,30.003,12,2011,1,0,0,0,1,0,0,0
75,0,0,8.200,34,30.003,13,2011,1,0,0,0,1,0,0,0
72,0,0,9.020,32,31.001,14,2011,1,0,0,0,1,0,0,0
82,0,0,9.020,35,23.999,15,2011,1,0,0,0,1,0,0,0
92,0,0,8.200,34,30.003,16,2011,1,0,0,0,1,0,0,0
62,0,0,7.380,37,26.003,17,2011,1,0,0,0,1,0,0,0
48,0,0,6.560,40,22.003,18,2011,1,0,0,0,1,0,0,0
41,0,0,6.560,43,22.003,19,2011,1,0,0,0,1,0,0,0
38,0,0,5.740,46,16.998,20,2011,1,0,0,0,1,0,0,0
20,0,0,5.740,46,27.999,21,2011,1,0,0,0,1,0,0,0
15,0,0,5.740,46,20.000,22,2011,1,0,0,0,1,0,0,0
6,0,0,4.920,50,12.998,23,2011,1,0,0,0,1,0,0,0
5,0,1,4.920,50,19.001,0,2011,1,0,0,0,1,0,0,0
1,0,1,4.920,50,19.001,1,2011,1,0,0,0,1,0,0,0
3,0,1,4.920,50,15.001,2,2011,1,0,0,0,1,0,0,0
1,0,1,4.920,50,15.001,3,2011,1,0,0,0,1,0,0,0
3,0,1,4.100,54,8.998,4,2011,1,0,0,0,1,0,0,0
3,0,1,4.100,54,16.998,5,2011,1,0,0,0,1,0,0,0
31,0,1,4.920,50,19.001,6,2011,1,0,0,0,1,0,0,0
77,0,1,4.920,50,15.001,7,2011,1,0,0,0,1,0,0,0
188,0,1,4.920,50,19.001,8,2011,0,1,0,0,1,0,0,0
94,0,1,5.740,50,16.998,9,2011,0,1,0,0,1,0,0,0
31,0,1,5.740,50,20.000,10,2011,0,1,0,0,1,0,0,0
30,0,1,6.560,47,19.001,11,2011,0,1,0,0,1,0,0,0
52,0,1,8.200,40,19.001,12,2011,0,1,0,0,1,0,0,0
54,0,1,8.200,40,19.001,13,2011,0,1,0,0,1,0,0,0
47,0,1,8.200,40,15.001,14,2011,0,1,0,0,1,0,0,0
45,0,1,8.200,40,15.001,15,2011,0,1,0,0,1,0,0,0
74,0,1,8.200,40,8.998,16,2011,1,0,0,0,1,0,0,0
178,0,1,8.200,40,7.002,17,2011,1,0,0,0,1,0,0,0
155,0,1,8.200,40,15.001,18,2011,1,0,0,0,1,0,0,0
95,0,1,6.560,47,11.001,19,2011,1,0,0,0,1,0,0,0
74,0,1,6.560,50,11.001,20,2011,1,0,0,0,1,0,0,0
38,0,1,5.740,59,12.998,21,2011,1,0,0,0,1,0,0,0
24,0,1,5.740,59,11.001,22,2011,1,0,0,0,1,0,0,0
18,0,1,5.740,59,11.001,23,2011,1,0,0,0,1,0,0,0
12,0,1,5.740,59,7.002,0,2011,1,0,0,0,1,0,0,0
3,0,1,5.740,59,11.001,1,2011,1,0,0,0,1,0,0,0
3,0,1,6.560,55,12.998,2,2011,0,1,0,0,1,0,0,0
6,0,1,6.560,55,8.998,5,2011,0,1,0,0,1,0,0,0
27,0,1,6.560,55,8.998,6,2011,0,1,0,0,1,0,0,0
99,0,1,6.560,55,0.000,7,2011,0,1,0,0,1,0,0,0
217,0,1,7.380,51,6.003,8,2011,0,1,0,0,1,0,0,0
130,0,1,7.380,51,11.001,9,2011,0,1,0,0,1,0,0,0
54,0,1,8.200,51,11.001,10,2011,0,1,0,0,1,0,0,0
35,0,1,8.200,47,8.998,11,2011,0,1,0,0,1,0,0,0
57,0,1,8.200,51,7.002,12,2011,0,1,0,0,1,0,0,0
52,0,1,8.200,59,6.003,13,2011,0,1,0,0,1,0,0,0
63,0,1,8.200,59,6.003,14,2011,0,1,0,0,1,0,0,0
47,0,1,6.560,80,6.003,15,2011,0,1,0,0,1,0,0,0
76,0,1,6.560,86,15.001,16,2011,0,1,0,0,1,0,0,0
136,0,1,6.560,86,15.001,17,2011,0,1,0,0,1,0,0,0
95,0,1,6.560,93,7.002,18,2011,0,0,1,0,1,0,0,0
51,0,1,6.560,93,0.000,19,2011,0,0,1,0,1,0,0,0
32,0,1,6.560,93,12.998,20,2011,0,0,1,0,1,0,0,0
20,0,1,6.560,86,6.003,21,2011,0,0,1,0,1,0,0,0
29,0,1,6.560,93,7.002,22,2011,0,0,1,0,1,0,0,0
19,0,1,6.560,93,6.003,23,2011,0,0,1,0,1,0,0,0
7,0,1,6.560,86,6.003,0,2011,0,1,0,0,1,0,0,0
6,0,1,6.560,86,7.002,1,2011,0,1,0,0,1,0,0,0
1,0,1,5.740,86,8.998,2,2011,1,0,0,0,1,0,0,0
5,0,1,5.740,86,11.001,5,2011,1,0,0,0,1,0,0,0
16,0,1,4.920,93,8.998,6,2011,1,0,0,0,1,0,0,0
54,0,1,5.740,69,8.998,7,2011,1,0,0,0,1,0,0,0
128,0,1,6.560,59,11.001,8,2011,1,0,0,0,1,0,0,0
81,0,1,6.560,59,22.003,9,2011,1,0,0,0,1,0,0,0
39,0,1,7.380,55,15.001,10,2011,1,0,0,0,1,0,0,0
35,0,1,8.200,51,26.003,11,2011,1,0,0,0,1,0,0,0
55,0,1,8.200,47,39.001,12,2011,1,0,0,0,1,0,0,0
49,0,1,9.020,44,23.999,13,2011,1,0,0,0,1,0,0,0
44,0,1,8.200,47,22.003,14,2011,1,0,0,0,1,0,0,0
49,0,1,8.200,47,27.999,15,2011,1,0,0,0,1,0,0,0
68,0,1,9.020,44,22.003,16,2011,1,0,0,0,1,0,0,0
139,0,1,8.200,47,23.999,17,2011,1,0,0,0,1,0,0,0
137,0,1,8.200,47,35.001,18,2011,1,0,0,0,1,0,0,0
83,0,1,7.380,47,27.999,19,2011,1,0,0,0,1,0,0,0
56,0,1,6.560,50,22.003,20,2011,1,0,0,0,1,0,0,0
57,0,1,6.560,55,22.003,21,2011,1,0,0,0,1,0,0,0
33,0,1,6.560,55,30.003,22,2011,1,0,0,0,1,0,0,0
20,0,1,5.740,59,27.999,23,2011,1,0,0,0,1,0,0,0
7,0,1,5.740,59,19.001,0,2011,1,0,0,0,1,0,0,0
2,0,1,5.740,50,19.001,1,2011,1,0,0,0,1,0,0,0
2,0,1,5.740,50,23.999,2,2011,1,0,0,0,1,0,0,0
3,0,1,5.740,50,22.003,3,2011,1,0,0,0,1,0,0,0
4,0,1,5.740,50,16.998,4,2011,1,0,0,0,1,0,0,0
3,0,1,5.740,50,20.000,5,2011,1,0,0,0,1,0,0,0
28,0,1,4.920,54,8.998,6,2011,1,0,0,0,1,0,0,0
72,0,1,4.920,54,8.998,7,2011,1,0,0,0,1,0,0,0
202,0,1,5.740,50,12.998,8,2011,1,0,0,0,1,0,0,0
139,0,1,5.740,50,22.003,9,2011,1,0,0,0,1,0,0,0
38,0,1,6.560,50,23.999,10,2011,0,1,0,0,1,0,0,0
37,0,1,8.200,44,30.003,11,2011,0,1,0,0,1,0,0,0
52,0,1,8.200,44,27.999,12,2011,1,0,0,0,1,0,0,0
83,0,1,9.020,41,30.003,13,2011,1,0,0,0,1,0,0,0
42,0,1,9.020,41,26.003,14,2011,1,0,0,0,1,0,0,0
60,0,1,9.840,38,20.000,15,2011,1,0,0,0,1,0,0,0
78,0,1,9.840,38,23.999,16,2011,1,0,0,0,1,0,0,0
162,0,1,8.200,40,19.001,17,2011,1,0,0,0,1,0,0,0
144,0,1,8.200,40,22.003,18,2011,1,0,0,0,1,0,0,0
99,0,1,6.560,47,16.998,19,2011,1,0,0,0,1,0,0,0
64,0,1,6.560,47,15.001,20,2011,1,0,0,0,1,0,0,0
40,0,1,5.740,46,20.000,21,2011,1,0,0,0,1,0,0,0
30,0,1,5.740,46,22.003,22,2011,1,0,0,0,1,0,0,0
15,0,1,4.920,50,12.998,23,2011,1,0,0,0,1,0,0,0
14,0,1,4.920,50,12.998,0,2011,1,0,0,0,1,0,0,0
5,0,1,4.100,54,11.001,1,2011,1,0,0,0,1,0,0,0
1,0,1,4.100,54,8.998,2,2011,1,0,0,0,1,0,0,0
1,0,1,4.100,54,7.002,3,2011,1,0,0,0,1,0,0,0
8,0,1,4.100,54,6.003,5,2011,1,0,0,0,1,0,0,0
17,0,1,4.100,54,0.000,6,2011,1,0,0,0,1,0,0,0
70,0,1,4.100,74,11.001,7,2011,1,0,0,0,1,0,0,0
158,0,1,4.920,68,0.000,8,2011,1,0,0,0,1,0,0,0
117,0,1,5.740,69,8.998,9,2011,1,0,0,0,1,0,0,0
44,0,1,7.380,55,12.998,10,2011,1,0,0,0,1,0,0,0
53,0,1,7.380,51,19.001,11,2011,1,0,0,0,1,0,0,0
61,0,1,8.200,44,16.998,12,2011,1,0,0,0,1,0,0,0
77,0,1,9.020,37,26.003,13,2011,1,0,0,0,1,0,0,0
64,0,1,9.020,41,19.001,14,2011,1,0,0,0,1,0,0,0
68,0,1,9.840,38,11.001,15,2011,1,0,0,0,1,0,0,0
90,0,1,9.020,41,7.002,16,2011,1,0,0,0,1,0,0,0
159,0,1,9.020,41,11.001,17,2011,1,0,0,0,1,0,0,0
139,0,1,8.200,47,0.000,18,2011,1,0,0,0,1,0,0,0
92,0,1,6.560,59,6.003,19,2011,1,0,0,0,1,0,0,0
68,0,1,7.380,59,0.000,20,2011,1,0,0,0,1,0,0,0
52,0,1,6.560,69,0.000,21,2011,1,0,0,0,1,0,0,0
36,0,1,6.560,69,0.000,22,2011,0,1,0,0,1,0,0,0
27,0,1,7.380,55,0.000,23,2011,0,1,0,0,1,0,0,0
28,0,0,7.380,55,0.000,0,2011,1,0,0,0,1,0,0,0
20,0,0,6.560,59,6.003,1,2011,0,1,0,0,1,0,0,0
12,0,0,6.560,59,6.003,2,2011,0,1,0,0,1,0,0,0
8,0,0,6.560,59,0.000,3,2011,0,1,0,0,1,0,0,0
5,0,0,6.560,59,0.000,4,2011,0,1,0,0,1,0,0,0
1,0,0,6.560,59,0.000,5,2011,1,0,0,0,1,0,0,0
3,0,0,5.740,63,7.002,6,2011,1,0,0,0,1,0,0,0
10,0,0,5.740,63,0.000,7,2011,1,0,0,0,1,0,0,0
23,0,0,5.740,63,8.998,8,2011,1,0,0,0,1,0,0,0
33,0,0,6.560,64,8.998,9,2011,1,0,0,0,1,0,0,0
59,0,0,7.380,59,11.001,10,2011,1,0,0,0,1,0,0,0
72,0,0,8.200,55,15.001,11,2011,1,0,0,0,1,0,0,0
89,0,0,9.840,48,15.001,12,2011,1,0,0,0,1,0,0,0
101,0,0,11.480,38,20.000,13,2011,1,0,0,0,1,0,0,0
118,0,0,12.300,39,19.001,14,2011,1,0,0,0,1,0,0,0
129,0,0,13.120,36,12.998,15,2011,0,1,0,0,1,0,0,0
128,0,0,13.940,34,12.998,16,2011,0,1,0,0,1,0,0,0
83,0,0,13.120,36,19.001,17,2011,0,1,0,0,1,0,0,0
84,0,0,12.300,45,16.998,18,2011,0,1,0,0,1,0,0,0
74,0,0,13.120,39,16.998,19,2011,0,1,0,0,1,0,0,0
41,0,0,13.120,39,16.998,20,2011,0,1,0,0,1,0,0,0
57,0,0,13.120,39,15.001,21,2011,0,1,0,0,1,0,0,0
26,0,0,12.300,42,7.002,22,2011,0,1,0,0,1,0,0,0
44,0,0,12.300,45,19.001,23,2011,1,0,0,0,1,0,0,0
39,0,0,10.660,56,0.000,0,2011,1,0,0,0,1,0,0,0
23,0,0,10.660,56,8.998,1,2011,1,0,0,0,1,0,0,0
16,0,0,10.660,56,6.003,2,2011,1,0,0,0,1,0,0,0
15,0,0,9.020,69,0.000,3,2011,1,0,0,0,1,0,0,0
1,0,0,10.660,56,11.001,4,2011,1,0,0,0,1,0,0,0
2,0,0,10.660,56,11.001,5,2011,0,1,0,0,1,0,0,0
1,0,0,10.660,56,11.001,6,2011,0,1,0,0,1,0,0,0
3,0,0,9.840,56,20.000,7,2011,0,1,0,0,1,0,0,0
18,0,0,9.020,55,19.001,8,2011,1,0,0,0,1,0,0,0
32,0,0,9.020,51,16.998,9,2011,1,0,0,0,1,0,0,0
79,0,0,9.020,51,19.001,10,2011,1,0,0,0,1,0,0,0
93,0,0,9.840,44,16.998,11,2011,1,0,0,0,1,0,0,0
104,0,0,9.840,41,19.001,12,2011,1,0,0,0,1,0,0,0
118,0,0,10.660,35,20.000,13,2011,1,0,0,0,1,0,0,0
91,0,0,11.480,36,16.998,14,2011,1,0,0,0,1,0,0,0
113,0,0,10.660,38,16.998,15,2011,1,0,0,0,1,0,0,0
99,0,0,9.840,38,15.001,16,2011,1,0,0,0,1,0,0,0
105,0,0,9.020,37,16.998,17,2011,1,0,0,0,1,0,0,0
67,0,0,8.200,40,11.001,18,2011,1,0,0,0,1,0,0,0
61,0,0,7.380,47,8.998,19,2011,1,0,0,0,1,0,0,0
57,0,0,7.380,47,11.001,20,2011,1,0,0,0,1,0,0,0
28,0,0,7.380,51,11.001,21,2011,1,0,0,0,1,0,0,0
21,0,0,8.200,49,8.998,22,2011,0,1,0,0,1,0,0,0
18,0,0,8.200,40,7.002,23,2011,0,1,0,0,1,0,0,0
17,1,0,8.200,47,15.001,0,2011,0,1,0,0,1,0,0,0
16,1,0,8.200,44,12.998,1,2011,0,1,0,0,1,0,0,0
8,1,0,7.380,43,16.998,2,2011,0,1,0,0,1,0,0,0
